Event Name;Event Type;Event Date;Affected Countries;Location;Country Coordinates(Lat);Country Coordinates(Long);Event Description
Oratia;Windstorm;2000-10-30 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"A deep area of low pressure swept across the United Kingdom bringing gusts in excess of 90 mph (140 km/h) and severe flooding to Southern England, it was the strongest system of its kind to hit the UK since the Burns Day Storm of 1990. Contributing to the Autumn 2000 western Europe floods.
"
Oratia;Windstorm;2000-10-31 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"A deep area of low pressure swept across the United Kingdom bringing gusts in excess of 90 mph (140 km/h) and severe flooding to Southern England, it was the strongest system of its kind to hit the UK since the Burns Day Storm of 1990. Contributing to the Autumn 2000 western Europe floods.
"
Oratia;Windstorm;2000-11-01 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"A deep area of low pressure swept across the United Kingdom bringing gusts in excess of 90 mph (140 km/h) and severe flooding to Southern England, it was the strongest system of its kind to hit the UK since the Burns Day Storm of 1990. Contributing to the Autumn 2000 western Europe floods.
"
Oratia;Windstorm;2000-11-02 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"A deep area of low pressure swept across the United Kingdom bringing gusts in excess of 90 mph (140 km/h) and severe flooding to Southern England, it was the strongest system of its kind to hit the UK since the Burns Day Storm of 1990. Contributing to the Autumn 2000 western Europe floods.
"
Oratia;Windstorm;2000-11-03 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"A deep area of low pressure swept across the United Kingdom bringing gusts in excess of 90 mph (140 km/h) and severe flooding to Southern England, it was the strongest system of its kind to hit the UK since the Burns Day Storm of 1990. Contributing to the Autumn 2000 western Europe floods.
"
Oratia;Windstorm;2000-11-04 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"A deep area of low pressure swept across the United Kingdom bringing gusts in excess of 90 mph (140 km/h) and severe flooding to Southern England, it was the strongest system of its kind to hit the UK since the Burns Day Storm of 1990. Contributing to the Autumn 2000 western Europe floods.
"
Oratia;Windstorm;2000-11-05 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"A deep area of low pressure swept across the United Kingdom bringing gusts in excess of 90 mph (140 km/h) and severe flooding to Southern England, it was the strongest system of its kind to hit the UK since the Burns Day Storm of 1990. Contributing to the Autumn 2000 western Europe floods.
"
Janika;Windstorm;2001-11-13 00:00:00;Finland;N/A;64;26;"A severe windstorm hit southern and central Finland, causing damage worth €20 million. Northerly winds trailing the low pressure were exceptionally gusty, with F2 damage on Fujita scale.
"
Janika;Windstorm;2001-11-14 00:00:00;Finland;N/A;64;26;"A severe windstorm hit southern and central Finland, causing damage worth €20 million. Northerly winds trailing the low pressure were exceptionally gusty, with F2 damage on Fujita scale.
"
Janika;Windstorm;2001-11-15 00:00:00;Finland;N/A;64;26;"A severe windstorm hit southern and central Finland, causing damage worth €20 million. Northerly winds trailing the low pressure were exceptionally gusty, with F2 damage on Fujita scale.
"
Janika;Windstorm;2001-11-16 00:00:00;Finland;N/A;64;26;"A severe windstorm hit southern and central Finland, causing damage worth €20 million. Northerly winds trailing the low pressure were exceptionally gusty, with F2 damage on Fujita scale.
"
Jeanett;Windstorm;2002-10-25 00:00:00;Austria,Poland,Czech Republic,Denmark,France,Germany,Ireland,Netherlands,Sweden,United Kingdom;N/A;47.33333,52,49.75,56,46,51.5,53,52.25,62,54.75844;13.33333,20,15,10,2,10.5,-8,5.75,15,-2.69531;"A strong windstorm ripped through the British Isles, killing 24. Winds peaked at 95 mph (153 km/h).
"
