Event Name;Event Type;Event Date;Affected Countries;Location;Country Coordinates(Lat);Country Coordinates(Long);Event Description
Gale of January 1976;Windstorm;1976-01-02 00:00:00;Belgium,United Kingdom,Ireland;N/A;50.75,54.75844,53;4.5,-2.69531,-8;"Central UK windspeed gusts of 105 mph (169 km/h) were measured at RAF Wittering. Middlesbrough saw winds of 114 mph (183 km/h).
 Widespread wind damage was reported across Europe from Ireland to Central Europe. Coastal flooding of 400 homes occurred in Cleethorpes, United Kingdom. In Ruisbroek, Antwerp Belgium dike failures and floods on the Scheldt estuary led to the adoption of the Sigmaplan (the Belgian equivalent of the Dutch Delta Works) The highest storm surge of the 20th Century was recorded on the German North Sea coast, with some flooding of coastal marshes.
"
Gale of January 1976;Windstorm;1976-01-03 00:00:00;Belgium,United Kingdom,Ireland;N/A;50.75,54.75844,53;4.5,-2.69531,-8;"Central UK windspeed gusts of 105 mph (169 km/h) were measured at RAF Wittering. Middlesbrough saw winds of 114 mph (183 km/h).
 Widespread wind damage was reported across Europe from Ireland to Central Europe. Coastal flooding of 400 homes occurred in Cleethorpes, United Kingdom. In Ruisbroek, Antwerp Belgium dike failures and floods on the Scheldt estuary led to the adoption of the Sigmaplan (the Belgian equivalent of the Dutch Delta Works) The highest storm surge of the 20th Century was recorded on the German North Sea coast, with some flooding of coastal marshes.
"
Gale of January 1976;Windstorm;1976-01-04 00:00:00;Belgium,United Kingdom,Ireland;N/A;50.75,54.75844,53;4.5,-2.69531,-8;"Central UK windspeed gusts of 105 mph (169 km/h) were measured at RAF Wittering. Middlesbrough saw winds of 114 mph (183 km/h).
 Widespread wind damage was reported across Europe from Ireland to Central Europe. Coastal flooding of 400 homes occurred in Cleethorpes, United Kingdom. In Ruisbroek, Antwerp Belgium dike failures and floods on the Scheldt estuary led to the adoption of the Sigmaplan (the Belgian equivalent of the Dutch Delta Works) The highest storm surge of the 20th Century was recorded on the German North Sea coast, with some flooding of coastal marshes.
"
Gale of January 1976;Windstorm;1976-01-05 00:00:00;Belgium,United Kingdom,Ireland;N/A;50.75,54.75844,53;4.5,-2.69531,-8;"Central UK windspeed gusts of 105 mph (169 km/h) were measured at RAF Wittering. Middlesbrough saw winds of 114 mph (183 km/h).
 Widespread wind damage was reported across Europe from Ireland to Central Europe. Coastal flooding of 400 homes occurred in Cleethorpes, United Kingdom. In Ruisbroek, Antwerp Belgium dike failures and floods on the Scheldt estuary led to the adoption of the Sigmaplan (the Belgian equivalent of the Dutch Delta Works) The highest storm surge of the 20th Century was recorded on the German North Sea coast, with some flooding of coastal marshes.
"
Fastnet Disaster Storm;Windstorm;1979-08-13 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"An unusual storm during the 1979 Fastnet yachting race resulted in 24 yachts being disabled or lost and 15 fatalities.

"
Fastnet Disaster Storm;Windstorm;1979-08-14 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"An unusual storm during the 1979 Fastnet yachting race resulted in 24 yachts being disabled or lost and 15 fatalities.

"
"1981 Storm series
";Windstorm;1981-11-23 00:00:00;Denmark,Sweden;N/A;56,62;10,15;"
November 23–24 A severe storm affected Denmark and southern Sweden, killing two, with a storm surge breaking sea dikes along the Jutland coast. 23 November also saw 102 tornados reported in Britain.
"
"1981 Storm series
";Windstorm;1981-11-24 00:00:00;Denmark,Sweden;N/A;56,62;10,15;"
November 23–24 A severe storm affected Denmark and southern Sweden, killing two, with a storm surge breaking sea dikes along the Jutland coast. 23 November also saw 102 tornados reported in Britain.
"
"1981 Storm series
";Windstorm;1981-12-13 00:00:00;United Kingdom,France;N/A;54.75844,46;-2.69531,2;"
1981 December storm In England, high tides combined with a storm surge resulted in extensive flooding and £6 million worth of damage along the Somerset coast of the Bristol Channel, with the highest water recorded in the Channel since the start of the century. In France, the storm caused widespread flooding in the south west, causing considerable damage in the river basins of the Garonne and Adour and flooding Bordeaux. Water entered the cooling water pump house of Hinkley Point nuclear power station, causing a shut-down for weeks after the storm.
"
"1981 Storm series
";Windstorm;1981-12-19 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"
December 19, Another storm leads to the Penlee lifeboat disaster.
"
"Christiansborg storm
";Windstorm;1983-01-18 00:00:00;Denmark;N/A;56;10;"A windstorm affected Denmark, blowing a roof off Christiansborg Palace in Copenhagen which killed two.
"
"Unnamed
";Windstorm;1984-01-13 00:00:00;Denmark;N/A;56;10;"A Class 4 storm affected Denmark.
"
Ex-Hurricane Charley;Windstorm;1986-08-25 00:00:00;Ireland,United Kingdom;N/A;53,54.75844;-8,-2.69531;"Rainfall records were broken in Ireland (e.g. 200 mm [7.9 in] in Kippure) with consequent flooding, up to 2.4 m (7.9 ft) in Dublin, and the storm also caused flooding in Wales and England. At least eleven people were killed in Ireland and Britain.
"
"Unnamed
";Windstorm;1986-10-20 00:00:00;Germany,Netherlands,Poland;N/A;51.5,52.25,52;10.5,5.75,20;"A windstorm primarily affecting the Netherlands, Germany and Poland.
"
Great Storm of 1987;Windstorm;1987-10-15 00:00:00;France,United Kingdom;N/A;46,54.75844;2,-2.69531;"This storm mainly affected southeastern England and northern France. In England maximum mean wind speeds of 70 kn (81 mph; 130 km/h) (an average over 10 minutes) were recorded. The highest gust of 117 kn (135 mph; 217 km/h) was recorded at Pointe du Raz in Brittany. In all, 19 people were killed in England and 4 in France. 15 million trees were uprooted in England. This storm received much media attention, not so much because of its severity, but because these storms do not usually track so far south, the trees and buildings are not used to such winds (indeed, in mid-October most deciduous trees still have their leaves and were therefore more susceptible to windstorm damage and, following weeks of wet weather, the ground was sodden, providing little grip for the trees' roots), the severity of the storm was not forecast until approximately 3 hrs before it hit and it struck after midnight, meaning few people had advance warning.[
]citation needed"
Great Storm of 1987;Windstorm;1987-10-16 00:00:00;France,United Kingdom;N/A;46,54.75844;2,-2.69531;"This storm mainly affected southeastern England and northern France. In England maximum mean wind speeds of 70 kn (81 mph; 130 km/h) (an average over 10 minutes) were recorded. The highest gust of 117 kn (135 mph; 217 km/h) was recorded at Pointe du Raz in Brittany. In all, 19 people were killed in England and 4 in France. 15 million trees were uprooted in England. This storm received much media attention, not so much because of its severity, but because these storms do not usually track so far south, the trees and buildings are not used to such winds (indeed, in mid-October most deciduous trees still have their leaves and were therefore more susceptible to windstorm damage and, following weeks of wet weather, the ground was sodden, providing little grip for the trees' roots), the severity of the storm was not forecast until approximately 3 hrs before it hit and it struck after midnight, meaning few people had advance warning.[
]citation needed"
"Scottish windstorm
";Windstorm;1989-02-13 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"During this storm, a gust of 123 kn (142 mph; 228 km/h) was recorded at the Kinnaird Lighthouse (Fraserburgh) on the north-east coast of Scotland. This broke the highest low-level wind speed record for the British Isles. Much higher (unofficial) windspeeds have been recorded on the summit of Cairn Gorm and on Unst in Shetland.
"
1990 Storm series;Windstorm;1990-01-25 00:00:00;United Kingdom,France,Belgium,Netherlands,Luxembourg,Germany;N/A;54.75844,46,50.75,52.25,49.75,51.5;-2.69531,2,4.5,5.75,6.16667,10.5;"
Burns' Day storm (Daria) 25–26 January 1990. Widespread severe gales in the United Kingdom, France, the Benelux countries, and Germany. Isolated gusts of over 45 m/s (160 km/h; 100 mph) were recorded, causing extensive structural damage. The storm tracked across the United Kingdom into mainland Europe, where it was known under the name ""Daria"" and caused severe damage, especially to forests. In total, insurance losses resulting from this storm totalled about US$6bn.[.]citation needed"
