Event Name;Event Type;Event Date;Affected Countries;Location;Country Coordinates(Lat);Country Coordinates(Long);Event Description
Xynthia;Windstorm;2010-02-26 00:00:00;Belgium,Denmark,France,Germany,Poland,Portugal,Spain,Sweden,United Kingdom;N/A;50.75,56,46,51.5,52,39.6945,40,62,54.75844;4.5,10,2,10.5,20,-8.13057,-4,15,-2.69531;"A severe windstorm which was generated close to Madeira and from there moved across to the Canary Islands, then Portugal and much of western and northern Spain, before moving on to hit western and southwestern France. The highest gust speeds recorded as of midnight were at approximately 21:30 UTC at Alto de Orduña (228 km/h [142 mph]). 50 people have been reported to have died.
"
Xynthia;Windstorm;2010-02-27 00:00:00;Belgium,Denmark,France,Germany,Poland,Portugal,Spain,Sweden,United Kingdom;N/A;50.75,56,46,51.5,52,39.6945,40,62,54.75844;4.5,10,2,10.5,20,-8.13057,-4,15,-2.69531;"A severe windstorm which was generated close to Madeira and from there moved across to the Canary Islands, then Portugal and much of western and northern Spain, before moving on to hit western and southwestern France. The highest gust speeds recorded as of midnight were at approximately 21:30 UTC at Alto de Orduña (228 km/h [142 mph]). 50 people have been reported to have died.
"
Xynthia;Windstorm;2010-02-28 00:00:00;Belgium,Denmark,France,Germany,Poland,Portugal,Spain,Sweden,United Kingdom;N/A;50.75,56,46,51.5,52,39.6945,40,62,54.75844;4.5,10,2,10.5,20,-8.13057,-4,15,-2.69531;"A severe windstorm which was generated close to Madeira and from there moved across to the Canary Islands, then Portugal and much of western and northern Spain, before moving on to hit western and southwestern France. The highest gust speeds recorded as of midnight were at approximately 21:30 UTC at Alto de Orduña (228 km/h [142 mph]). 50 people have been reported to have died.
"
Xynthia;Windstorm;2010-03-01 00:00:00;Belgium,Denmark,France,Germany,Poland,Portugal,Spain,Sweden,United Kingdom;N/A;50.75,56,46,51.5,52,39.6945,40,62,54.75844;4.5,10,2,10.5,20,-8.13057,-4,15,-2.69531;"A severe windstorm which was generated close to Madeira and from there moved across to the Canary Islands, then Portugal and much of western and northern Spain, before moving on to hit western and southwestern France. The highest gust speeds recorded as of midnight were at approximately 21:30 UTC at Alto de Orduña (228 km/h [142 mph]). 50 people have been reported to have died.
"
Xynthia;Windstorm;2010-03-02 00:00:00;Belgium,Denmark,France,Germany,Poland,Portugal,Spain,Sweden,United Kingdom;N/A;50.75,56,46,51.5,52,39.6945,40,62,54.75844;4.5,10,2,10.5,20,-8.13057,-4,15,-2.69531;"A severe windstorm which was generated close to Madeira and from there moved across to the Canary Islands, then Portugal and much of western and northern Spain, before moving on to hit western and southwestern France. The highest gust speeds recorded as of midnight were at approximately 21:30 UTC at Alto de Orduña (228 km/h [142 mph]). 50 people have been reported to have died.
"
Xynthia;Windstorm;2010-03-03 00:00:00;Belgium,Denmark,France,Germany,Poland,Portugal,Spain,Sweden,United Kingdom;N/A;50.75,56,46,51.5,52,39.6945,40,62,54.75844;4.5,10,2,10.5,20,-8.13057,-4,15,-2.69531;"A severe windstorm which was generated close to Madeira and from there moved across to the Canary Islands, then Portugal and much of western and northern Spain, before moving on to hit western and southwestern France. The highest gust speeds recorded as of midnight were at approximately 21:30 UTC at Alto de Orduña (228 km/h [142 mph]). 50 people have been reported to have died.
"
Xynthia;Windstorm;2010-03-04 00:00:00;Belgium,Denmark,France,Germany,Poland,Portugal,Spain,Sweden,United Kingdom;N/A;50.75,56,46,51.5,52,39.6945,40,62,54.75844;4.5,10,2,10.5,20,-8.13057,-4,15,-2.69531;"A severe windstorm which was generated close to Madeira and from there moved across to the Canary Islands, then Portugal and much of western and northern Spain, before moving on to hit western and southwestern France. The highest gust speeds recorded as of midnight were at approximately 21:30 UTC at Alto de Orduña (228 km/h [142 mph]). 50 people have been reported to have died.
"
Xynthia;Windstorm;2010-03-05 00:00:00;Belgium,Denmark,France,Germany,Poland,Portugal,Spain,Sweden,United Kingdom;N/A;50.75,56,46,51.5,52,39.6945,40,62,54.75844;4.5,10,2,10.5,20,-8.13057,-4,15,-2.69531;"A severe windstorm which was generated close to Madeira and from there moved across to the Canary Islands, then Portugal and much of western and northern Spain, before moving on to hit western and southwestern France. The highest gust speeds recorded as of midnight were at approximately 21:30 UTC at Alto de Orduña (228 km/h [142 mph]). 50 people have been reported to have died.
"
Xynthia;Windstorm;2010-03-06 00:00:00;Belgium,Denmark,France,Germany,Poland,Portugal,Spain,Sweden,United Kingdom;N/A;50.75,56,46,51.5,52,39.6945,40,62,54.75844;4.5,10,2,10.5,20,-8.13057,-4,15,-2.69531;"A severe windstorm which was generated close to Madeira and from there moved across to the Canary Islands, then Portugal and much of western and northern Spain, before moving on to hit western and southwestern France. The highest gust speeds recorded as of midnight were at approximately 21:30 UTC at Alto de Orduña (228 km/h [142 mph]). 50 people have been reported to have died.
"
Xynthia;Windstorm;2010-03-07 00:00:00;Belgium,Denmark,France,Germany,Poland,Portugal,Spain,Sweden,United Kingdom;N/A;50.75,56,46,51.5,52,39.6945,40,62,54.75844;4.5,10,2,10.5,20,-8.13057,-4,15,-2.69531;"A severe windstorm which was generated close to Madeira and from there moved across to the Canary Islands, then Portugal and much of western and northern Spain, before moving on to hit western and southwestern France. The highest gust speeds recorded as of midnight were at approximately 21:30 UTC at Alto de Orduña (228 km/h [142 mph]). 50 people have been reported to have died.
"
